169,s,69580988,69580965,HSP,-
170,q,71638229,71638246,HSP,-
171,s,69582159,69582142,HSP,-
172,q,71644272,71644289,HSP,+
173,s,69582745,69582762,HSP,+
174,q,71681837,71681854,HSP,-
175,s,69583307,69583290,HSP,-
176,q,71654173,71654193,HSP,-
177,s,69590686,69590666,HSP,-
178,q,71687284,71687298,HSP,+
179,s,69592024,69592038,HSP,+
180,q,71665483,71665500,HSP,+
181,s,69592140,69592157,HSP,+
182,q,71634017,71634031,HSP,+
183,s,69592898,69592912,HSP,+
184,q,71686732,71686746,HSP,-
185,s,69593451,69593437,HSP,-
186,q,71642091,71642105,HSP,+
187,s,69597424,69597438,HSP,+
188,q,71676442,71676456,HSP,+
189,s,69598811,69598825,HSP,+
190,q,71637846,71637860,HSP,+
191,s,69601194,69601208,HSP,+
192,q,71684367,71684384,HSP,+
193,s,69602794,69602811,HSP,+
194,q,71682921,71682944,HSP,+
195,s,69604530,69604553,HSP,+
196,q,71658259,71658276,HSP,+
197,s,69610955,69610972,HSP,+
198,q,71636109,71636123,HSP,-
199,s,69611259,69611245,HSP,-
200,q,71637938,71637955,HSP,+
201,s,69611749,69611766,HSP,+
202,q,71636238,71636255,HSP,-
203,s,69611767,69611750,HSP,-
204,q,71637928,71637948,HSP,+
205,s,69611962,69611982,HSP,+
206,q,71692595,71692612,HSP,+
207,s,69613702,69613719,HSP,+
208,q,71658966,71658980,HSP,-
209,s,69615072,69615058,HSP,-
210,q,71679329,71679343,HSP,-
211,s,69616570,69616556,HSP,-
212,q,71681313,71681330,HSP,+
213,s,69619433,69619450,HSP,+
214,q,71660665,71660679,HSP,-
215,s,69620411,69620397,HSP,-
216,q,71637404,71637421,HSP,-
217,s,69621963,69621946,HSP,-
218,q,71662078,71662092,HSP,+
219,s,69622401,69622415,HSP,+
220,q,71637787,71637810,HSP,+
221,s,69623187,69623210,HSP,+
222,q,71652557,71652571,HSP,-
223,s,69623226,69623212,HSP,-
224,q,71633118,71633132,HSP,-
225,s,69623836,69623822,HSP,-
q_0.000,q,71639700,71645188,gene,+,Bradi1g74420,#ff0000
q_0.010,q,71639744,71640110,CDS,+,Bradi1g74420
q_0.020,q,71640197,71640404,CDS,+,Bradi1g74420
q_0.030,q,71640786,71640957,CDS,+,Bradi1g74420
q_0.040,q,71641610,71641675,CDS,+,Bradi1g74420
q_0.050,q,71643416,71643529,CDS,+,Bradi1g74420
q_0.060,q,71643654,71643770,CDS,+,Bradi1g74420
q_0.070,q,71643868,71644558,CDS,+,Bradi1g74420
q_0.080,q,71644640,71644716,CDS,+,Bradi1g74420
q_0.090,q,71644826,71645017,CDS,+,Bradi1g74420
q_1.000,q,71645328,71654535,gene,-,Bradi1g74430
q_1.010,q,71645696,71646817,CDS,-,Bradi1g74430
q_1.020,q,71647056,71648558,CDS,-,Bradi1g74430
q_1.030,q,71648709,71652874,CDS,-,Bradi1g74430
q_1.040,q,71654368,71654473,CDS,-,Bradi1g74430
q_2.000,q,71665473,71665744,gene,-,brachy_v1_Bd1_71665473_71665744
q_3.000,q,71666281,71666796,gene,-,brachy_v1_Bd1_71666281_71666796
q_4.000,q,71667817,71668005,gene,+,brachy_v1_Bd1_71667817_71668005
q_5.000,q,71682875,71685877,gene,+,Bradi1g74440
q_5.010,q,71682875,71682929,CDS,+,Bradi1g74440
q_5.020,q,71683247,71683333,CDS,+,Bradi1g74440
q_5.030,q,71683428,71683515,CDS,+,Bradi1g74440
q_5.040,q,71683604,71683708,CDS,+,Bradi1g74440
q_5.050,q,71683807,71684361,CDS,+,Bradi1g74440
q_5.060,q,71684460,71684595,CDS,+,Bradi1g74440
q_5.070,q,71684725,71684915,CDS,+,Bradi1g74440
q_5.080,q,71685007,71685115,CDS,+,Bradi1g74440
q_5.090,q,71685351,71685499,CDS,+,Bradi1g74440
q_5.100,q,71685582,71685828,CDS,+,Bradi1g74440
s_0.000,s,69572452,69574823,gene,+,Sb01g046380
s_0.001,s,69572452,69574823,start_codon,+,Sb01g046380
s_0.010,s,69572896,69573150,CDS,+,Sb01g046380
s_0.020,s,69573244,69573530,CDS,+,Sb01g046380
s_0.030,s,69573615,69573777,CDS,+,Sb01g046380
s_0.040,s,69573880,69574226,CDS,+,Sb01g046380
s_0.050,s,69574313,69574378,CDS,+,Sb01g046380
s_0.060,s,69574458,69574491,CDS,+,Sb01g046380
s_1.000,s,69575376,69577595,gene,+,Sb01g046390
s_2.000,s,69582738,69583067,gene,+,Sb01g046400
s_2.010,s,69582738,69582919,CDS,+,Sb01g046400
s_2.020,s,69583043,69583067,CDS,+,Sb01g046400
s_3.000,s,69599006,69604941,gene,+,Sb01g046410
s_3.001,s,69599006,69604941,start_codon,+,Sb01g046410
s_3.010,s,69599159,69599489,CDS,+,Sb01g046410
s_3.020,s,69599663,69599870,CDS,+,Sb01g046410
s_3.030,s,69600282,69600453,CDS,+,Sb01g046410
s_3.040,s,69601159,69601224,CDS,+,Sb01g046410
s_3.050,s,69602951,69603064,CDS,+,Sb01g046410
s_3.060,s,69603196,69603312,CDS,+,Sb01g046410
s_3.070,s,69603454,69604058,CDS,+,Sb01g046410
s_3.080,s,69604147,69604232,CDS,+,Sb01g046410
s_3.090,s,69604331,69604407,CDS,+,Sb01g046410
s_3.100,s,69604576,69604767,CDS,+,Sb01g046410
s_4.000,s,69616462,69619525,gene,+,Sb01g046420
s_4.001,s,69616462,69619525,start_codon,+,Sb01g046420
s_4.010,s,69616462,69616497,CDS,+,Sb01g046420
s_4.020,s,69616617,69616713,CDS,+,Sb01g046420
s_4.030,s,69617018,69617101,CDS,+,Sb01g046420
s_4.040,s,69617194,69617281,CDS,+,Sb01g046420
s_4.050,s,69617365,69617469,CDS,+,Sb01g046420
s_4.060,s,69617566,69618066,CDS,+,Sb01g046420
s_4.070,s,69618160,69618295,CDS,+,Sb01g046420
s_4.080,s,69618418,69618608,CDS,+,Sb01g046420
s_4.090,s,69618699,69618807,CDS,+,Sb01g046420
s_4.100,s,69619050,69619198,CDS,+,Sb01g046420
s_4.110,s,69619282,69619525,CDS,+,Sb01g046420
#id,track_id,xmin,xmax,style,strand,data-source
plot1,q,71630143,71695587,plot_line,+,data/pair/gc_content.txt
plot2,qplot,71630143,71695587,plot_hist,-,data/pair/hist_data.txt
plot3,q,71630143,71695587,plot_hist,-,data/pair/hist_data.txt
