0,HSP,71643859,71644474,+,q
1,HSP,69603445,69604060,+,s
2,HSP,71684145,71685124,+,q
3,HSP,69617856,69618816,+,s
4,HSP,71685349,71685832,+,q
5,HSP,69619048,69619529,+,s
6,HSP,71639816,71640115,+,q
7,HSP,69599195,69599494,+,s
8,HSP,71640785,71640960,+,q
9,HSP,69600281,69600456,+,s
10,HSP,71640196,71640409,+,q
11,HSP,69599662,69599875,+,s
12,HSP,71644819,71644971,+,q
13,HSP,69604569,69604721,+,s
14,HSP,71643414,71643537,+,q
15,HSP,69602949,69603072,+,s
16,HSP,71643652,71643775,+,q
17,HSP,69603194,69603317,+,s
18,HSP,71659661,71659793,+,q
19,HSP,69612885,69613020,+,s
20,HSP,71641606,71641682,+,q
21,HSP,69601155,69601231,+,s
22,HSP,71682981,71683057,+,q
23,HSP,69616615,69616691,+,s
24,HSP,71644637,71644723,+,q
25,HSP,69604328,69604414,+,s
26,HSP,71683601,71683712,+,q
27,HSP,69617362,69617473,+,s
28,HSP,71644472,71644565,+,q
29,HSP,69604146,69604239,+,s
30,HSP,71683256,71683341,+,q
31,HSP,69617024,69617109,+,s
32,HSP,71683426,71683518,+,q
33,HSP,69617192,69617284,+,s
34,HSP,71683806,71683907,+,q
35,HSP,69617565,69617666,+,s
36,HSP,71634903,71634953,+,q
37,HSP,69594355,69594405,+,s
38,HSP,71659445,71659530,+,q
39,HSP,69612582,69612670,+,s
40,HSP,71680969,71681010,+,q
41,HSP,69613443,69613484,+,s
42,HSP,71685157,71685222,+,q
43,HSP,69618878,69618946,+,s
44,HSP,71686696,71686737,+,q
45,HSP,69620319,69620360,+,s
46,HSP,71658964,71659034,+,q
47,HSP,69612026,69612096,+,s
48,HSP,71686782,71686834,+,q
49,HSP,69620390,69620442,+,s
50,HSP,71682815,71682856,+,q
51,HSP,69616459,69616500,+,s
52,HSP,71682553,71682583,+,q
53,HSP,69616238,69616268,+,s
54,HSP,71687964,71687991,+,q
55,HSP,69621159,69621186,+,s
56,HSP,71682606,71682659,+,q
57,HSP,69616299,69616352,+,s
58,HSP,71642112,71642154,+,q
59,HSP,69601548,69601587,+,s
60,HSP,71633601,71633621,+,q
61,HSP,69592311,69592331,+,s
62,HSP,71637782,71637810,-,q
63,HSP,69580996,69580968,-,s
64,HSP,71637778,71637806,-,q
65,HSP,69580998,69580970,-,s
66,HSP,71639743,71639768,+,q
67,HSP,69599158,69599183,+,s
68,HSP,71682453,71682472,-,q
69,HSP,69601402,69601383,-,s
70,HSP,71681402,71681448,+,q
71,HSP,69613974,69614022,+,s
72,HSP,71682282,71682313,+,q
73,HSP,69615877,69615908,+,s
74,HSP,71690951,71690979,+,q
